id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
167979,2.5,0,0,0,0,0
167980,0.08,5,0.11,0,0.1,0.1
167981,0.21,12,0.52,0.7,0.8,0.5
167982,0.92,0,0,0,0,0
167983,0.28,0,0,0,0,0
167984,0.91,0,0,0,2.2,0
167985,1.2,62,1.12,0,0.4,0.18
167986,0.01,0,0.04,0,0,0
167987,1.77,36,1.11,0,0,0.09
167988,1.97,55,1.43,0,0.2,0.07
167989,0.4,1,0,0,0,0
167990,0.3,3,0.01,0,0,0
167991,0.13,2,0.05,0,0,0
167992,1,37,0.09,0,0,0.56
167993,1.06,13,0.49,0,0.8,0
167994,1.1,72,1.11,0,0.7,0.36
167995,0.23,2,0.04,0,0,0
167996,4.53,218,4.32,0,0.1,0.04
167997,0.5,51,1.19,0,0,0.2
167998,0.4,19,0.43,0.8,0.8,0.31
167999,2.18,95,1.26,0,0.1,0
168000,4.38,64,1.06,0,0,0.27
168001,1.31,96,2.6,0,0,0.53
168002,0.18,3,0.03,0,0,0
168003,3.67,41,0.78,0,0,0
168004,3.17,198,2.95,0,0,0
168005,4.26,26,1.45,0,0,0
168006,4.43,26,0.81,0,0,0
168007,0.45,17,0.29,0,0,0
168008,3.57,13,0.56,0,0,0
168009,3.17,11,0.47,0,0,0
168010,0.78,44,0.7,0,0,0
168011,0.56,31,0.54,0,0,0
168012,1.94,94,1.72,0,0,0
168013,2.5,78,1.7,0,0.1,0
168014,2.75,18,0.64,0,0,0.05
168015,0.44,0,0,0,4.2,0
168016,0.4,0,0,0,2.2,0
168017,0,0,0,0,16,0
168018,0,0,0,0,8,0
168019,4.9,0,1.43,0,0,0
168020,49.6,0,0,0,0,0
168021,2.1,0,0,0,0,0
168022,0,0,0,0,33,0
168024,1.7,0,0,0,0,0
168025,19.6,0,0,0,0,0
168026,13.5,0,0,0,0,0
168027,0.5,1,0,0,0.3,0
168028,0.8,0,0,0,68,0
168029,9.4,0,0,0,0,0
168030,9.4,0,0,0,0,0
168031,14.4,0,0,0,0,0
168033,0.29,33,0.99,0,0,0
168034,3.9,0,0,0,0,0
168035,1.3,0,0,0,0,0
168036,2.6,0,0,0,190,0
168037,2.29,123,3.15,0,0,0
168038,3.79,125,3.24,0,0,0
168039,2.99,107,3.1,0,0,0
168040,0.17,10,0.07,0,4.5,0
168041,3.81,19,0.32,0,0,0
168042,1.79,8,1.85,0,0,0.82
168043,0.81,20,1.19,0,0,0.64
168044,1.21,21,1.87,0,0,1.16
168045,0.53,27,0.52,0,0,7.82
